tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,3930
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,4599
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,4328
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,1483
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,526
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,2212
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,549
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,3696
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,3827
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,6777
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,6640
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,3975
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,2244
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,7094
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,4373
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,3722
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,7584
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,18502
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,2739
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,7023
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,13064
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,7660
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,7118
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,12432
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,8223
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,6245
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,10432
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,12766
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,9359
2020,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,5979
2020,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,14990
2020,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,12754
2020,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,7380
2020,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-Laki,8862
2020,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-Laki,9444
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,Laki-Laki,9740
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-Laki,11831
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,Laki-Laki,6979
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,KALI BARU,Laki-Laki,16086
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-Laki,7817
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,ROROTAN,Laki-Laki,9833
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-Laki,14718
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-Laki,6518
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-Laki,15150
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-Laki,4710
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-Laki,5085
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-Laki,8567
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-Laki,6060
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-Laki,13111
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-Laki,16166
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-Laki,13108
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-Laki,6653
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-Laki,29027
