,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
2853,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Pendeta,5
2854,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Wartawan,4
2855,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Juru Masak,1
2856,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Dosen,15
2857,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Guru,233
2858,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Pilot,1
2859,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Pengacara,4
2860,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Konsultan,1
2861,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Dokter,9
2862,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Bidan,0
2863,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Perawat,12
2864,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Apoteker,0
2865,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Pelaut,110
2866,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Sopir,215
2867,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Pedagang,238
2868,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Wiraswasta,2529
2869,JAKARTA UTARA,CILINCING,ROROTAN,LAKI-LAKI,Lainnya,7
2870,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Belum/Tidak Bekerja,148
2871,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Mengurus Rumah Tangga,4
2872,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pelajar/Mahasiswa,347
2873,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pensiunan,454
2874,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pegawai Negeri Sipil,729
2875,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Tentara Nasional Indonesia,368
2876,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Kepolisian RI,99
2877,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Perdagangan,1
2878,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Petani/Pekebun,4
2879,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Nelayan/Perikanan,2
2880,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Industri,4
2881,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Konstruksi,2
2882,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Transportasi,7
2883,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Karyawan Swasta,12133
2884,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Karyawan BUMN,62
2885,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Karyawan BUMD,4
2886,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Karyawan Honorer,176
2887,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Buruh Harian Lepas,2658
2888,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Buruh Tani/Perkebunan,2
2889,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pembantu Rumah Tangga,0
2890,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Tukang Jahit,3
2891,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Penata Rambut,0
2892,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Mekanik,4
2893,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Seniman,23
2894,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pendeta,27
2895,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pastor,1
2896,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Wartawan,18
2897,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Ustadz/Mubaligh,1
2898,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Dosen,17
2899,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Guru,230
2900,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pilot,1
2901,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pengacara,13
2902,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Konsultan,2
2903,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Dokter,14
2904,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Bidan,0
2905,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Perawat,14
2906,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Apoteker,3
2907,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pelaut,316
2908,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Peneliti,0
2909,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Sopir,425
2910,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Paranormal,1
2911,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Pedagang,535
2912,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Wiraswasta,3839
2913,JAKARTA UTARA,CILINCING,SEMPER BARAT,LAKI-LAKI,Lainnya,21
2914,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Belum/Tidak Bekerja,91
2915,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Mengurus Rumah Tangga,3
2916,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pelajar/Mahasiswa,120
2917,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pensiunan,112
2918,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pegawai Negeri Sipil,115
2919,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Tentara Nasional Indonesia,39
2920,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Kepolisian RI,17
2921,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Perdagangan,4
2922,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Petani/Pekebun,2
2923,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Konstruksi,2
2924,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Karyawan Swasta,7440
2925,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Karyawan BUMN,31
2926,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Karyawan BUMD,2
2927,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Karyawan Honorer,10
2928,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Buruh Harian Lepas,786
2929,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Buruh Tani/Perkebunan,1
2930,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pembantu Rumah Tangga,0
2931,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Tukang Las/Pandai Besi,1
2932,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Tukang Jahit,14
2933,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Mekanik,10
2934,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Seniman,4
2935,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Tabib,3
2936,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pendeta,10
2937,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pastor,3
2938,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Wartawan,10
2939,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Ustadz/Mubaligh,1
2940,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Juru Masak,1
2941,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Anggota BPK,1
2942,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Dosen,10
2943,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Guru,75
2944,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pilot,1
2945,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pengacara,4
2946,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Notaris,1
2947,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Arsitek,2
2948,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Konsultan,3
2949,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Dokter,23
2950,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Bidan,0
2951,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Perawat,1
2952,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pelaut,23
2953,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Sopir,95
2954,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Pedagang,315
2955,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Biarawan/Biarawati,0
2956,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Wiraswasta,2366
2957,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LAKI-LAKI,Lainnya,22
2958,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Belum/Tidak Bekerja,101
2959,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Mengurus Rumah Tangga,8
2960,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pelajar/Mahasiswa,240
2961,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pensiunan,101
2962,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pegawai Negeri Sipil,128
2963,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Tentara Nasional Indonesia,80
2964,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Kepolisian RI,30
2965,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Perdagangan,6
2966,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Petani/Pekebun,1
2967,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Nelayan/Perikanan,2
2968,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Industri,8
2969,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Konstruksi,2
2970,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Transportasi,2
2971,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Karyawan Swasta,15240
2972,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Karyawan BUMN,31
2973,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Karyawan BUMD,1
2974,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Karyawan Honorer,19
2975,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Buruh Harian Lepas,3370
2976,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Buruh Tani/Perkebunan,2
2977,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Buruh Nelayan/Perikanan,1
2978,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pembantu Rumah Tangga,0
2979,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Tukang Jahit,11
2980,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Mekanik,3
2981,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Seniman,18
2982,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Tabib,1
2983,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Imam Mesjid,1
2984,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pendeta,9
2985,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pastor,2
2986,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Wartawan,15
2987,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Ustadz/Mubaligh,3
2988,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Dosen,11
2989,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Guru,141
2990,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pilot,1
2991,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pengacara,7
2992,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Konsultan,3
2993,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Dokter,11
2994,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Perawat,4
2995,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Apoteker,1
2996,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pelaut,18
2997,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Sopir,209
2998,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Pedagang,635
2999,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Biarawan/Biarawati,0
3000,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Wiraswasta,4022
3001,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LAKI-LAKI,Lainnya,41
3002,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Belum/Tidak Bekerja,22
3003,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Mengurus Rumah Tangga,5
3004,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pelajar/Mahasiswa,101
3005,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pensiunan,38
3006,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pegawai Negeri Sipil,44
3007,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Tentara Nasional Indonesia,24
3008,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Kepolisian RI,11
3009,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Perdagangan,3
3010,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Petani/Pekebun,1
3011,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Nelayan/Perikanan,1
3012,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Industri,4
3013,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Konstruksi,3
3014,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Karyawan Swasta,5285
3015,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Karyawan BUMN,9
3016,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Karyawan BUMD,2
3017,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Karyawan Honorer,13
3018,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Buruh Harian Lepas,562
3019,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Buruh Tani/Perkebunan,2
3020,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Buruh Nelayan/Perikanan,5
3021,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pembantu Rumah Tangga,0
3022,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Tukang Jahit,1
3023,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Penata Rambut,0
3024,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Mekanik,5
3025,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Seniman,5
3026,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pendeta,1
3027,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Wartawan,8
3028,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Ustadz/Mubaligh,2
3029,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Juru Masak,2
3030,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Dosen,5
3031,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Guru,21
3032,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pilot,1
3033,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pengacara,1
3034,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Arsitek,1
3035,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Konsultan,2
3036,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Dokter,11
3037,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pelaut,68
3038,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Sopir,106
3039,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Pedagang,246
3040,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Wiraswasta,1626
3041,JAKARTA UTARA,PADEMANGAN,ANCOL,LAKI-LAKI,Lainnya,1
3042,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Belum/Tidak Bekerja,141
3043,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Mengurus Rumah Tangga,1
3044,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pelajar/Mahasiswa,62
3045,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pensiunan,977
3046,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pegawai Negeri Sipil,196
3047,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Tentara Nasional Indonesia,30
3048,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Kepolisian RI,17
3049,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Perdagangan,3
3050,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Petani/Pekebun,2
3051,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Nelayan/Perikanan,1
3052,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Industri,1
3053,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Konstruksi,1
